,tweet_text
1, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
2, Did you vote on  Demonetization on Modi survey app 
3, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
4, Gurugram  Haryana   Post office employees provide cash exchange to patients in hospitals  demonetization 
5, Reddy Wedding   cartoon  demonetization  ReddyWedding 
6,  India s  demonetization   Blackmoney a symptom  not the disease  via 
7, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
8, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
9, Many opposition leaders are with  on the  Demonetization  And respect their decision but support oppositio 
10,National reform now destroyed even the essence of sagan  Such instances urge giving  demonetization a second though  
11,Many opposition leaders are with  on the  Demonetization  And respect their decision but support opposition just b coz of party
12, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
13, Bharat band on 28   ed  U 00A0  U 00BD  ed  U 00B8  U 0082 Those who  are protesting  demonetization  are all different party leaders 
14, The effect of  Demonetization      
15, When I explained  Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical 
16, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
17, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
18, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
19,  Demonetization The co operative banking sector in Kerala is as good as a tax haven  Is Kerala a Black Money HQ  
20, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
21, Did you vote on  Demonetization on Modi survey app 
22, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
23, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
24,   The success of  Demonetization will depend on how swiftly govt replenish the currency  Pls avoid Ba 
25, Did you vote on  Demonetization on Modi survey app 
26, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
27,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
28, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
29,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
30,  Demonetization Is Disaster   
31, Did you vote on  Demonetization on Modi survey app 
32, After the  demonetization  searches about  NarendraModi s app are trending on app stores 
33, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
34, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
35,  demonetization is Communal and Black Money is Secular   
36,LOL   Demonetization Effect  
37,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
38,RT roshankar  Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact o  
39, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
40,  Lrnd frm a frnd Banks r asking employees to comeback 2sales  amp  BAU Operations  Demonetization
41, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
42, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
43, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
44, you have 12 5 k followers yet you are not getting enough likes for your tweets against  demonetization  You need to introspect 
45, DeMonetization Effect   Visa  Master Card  Amex all Accepted    
46, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
47,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
48, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
49,  demonetization eye opener video bt i doubt as few jurnos don t want2 hear  ve of    
50, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
51, Is  ModiSarkar  s  achedin campaign on  demonetization a  goebbelsian  masterstroke that turns blind eye to  GroundZero shocks  
52, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
53, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
54, demonetization is Communal and Black Money is Secular   
55,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
56,   demonetization hardly affects tax dodgers  amp   NETAS who excel in  CashlessCorruption  amp  have multiplied bad weal 
57, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
58,Section 144 issued by District Magistrate   Indore prohibiting  socialmedia posts on  demonetization  Why    citizen 
59, CPI M opposes Co op Banks in West Bengal but supports them in Kerala  Y Pawar U turned on  Demonetization 
60,RT roshankar  Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact o  
61,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
62, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
63,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
64,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
65, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
