"","X.1","X","tweet_text","negative","positive","neutral","total_sentiment","Hour","Date","Platform","re_tweets"
"1",1,1," Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  ",1,2,0,"positive","18","23"," Android",331
"2",2,2," Did you vote on  Demonetization on Modi survey app ",1,1,0,"positive","18","23"," Android",66
"3",3,3," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Android",12
"4",4,4," Gurugram  Haryana   Post office employees provide cash exchange to patients in hospitals  demonetization ",0,3,0,"positive","18","23"," Android",338
"5",5,5," Reddy Wedding   cartoon  demonetization  ReddyWedding ",0,0,1,"neutral","18","23","CPIMBadli",120
"6",6,6,"  India s  demonetization   Blackmoney a symptom  not the disease  via ",2,0,0,"negative","18","23"," Web Client",0
"7",7,7," Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have ",0,0,1,"neutral","18","23"," Android",637
"8",8,8," Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas ",0,1,0,"positive","18","23"," Android",112
"9",9,9," Many opposition leaders are with  on the  Demonetization  And respect their decision but support oppositio ",1,1,0,"positive","18","23"," Android",1
"10",10,10,"National reform now destroyed even the essence of sagan  Such instances urge giving  demonetization a second though  ",1,2,0,"positive","18","23","Mobile Web (M5)",0
"11",11,11,"Many opposition leaders are with  on the  Demonetization  And respect their decision but support opposition just b coz of party",1,1,0,"positive","18","23"," Android",1
"12",12,12," Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy ",0,1,0,"positive","18","23"," Android",120
"13",13,13," Bharat band on 28   ed  U 00A0  U 00BD  ed  U 00B8  U 0082 Those who  are protesting  demonetization  are all different party leaders ",0,0,1,"neutral","18","23"," Android",0
"14",14,14," The effect of  Demonetization      ",0,0,1,"neutral","18","23"," Android",45
"15",15,15," When I explained  Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical ",1,0,0,"negative","18","23"," iPhone",50
"16",16,16," The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards ",1,0,0,"negative","18","23"," Android",45
"17",17,17," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Android",12
"18",18,18," BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   ",0,1,0,"positive","18","23"," iPhone",95
"19",19,19,"  Demonetization The co operative banking sector in Kerala is as good as a tax haven  Is Kerala a Black Money HQ  ",2,3,0,"positive","18","23"," Android",76
"20",20,20," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Web Client",12
"21",21,21," Did you vote on  Demonetization on Modi survey app ",1,1,0,"positive","18","23"," Android",66
"22",22,22," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Android",12
"23",23,23," BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   ",0,1,0,"positive","18","23"," Android",95
"24",24,24,"   The success of  Demonetization will depend on how swiftly govt replenish the currency  Pls avoid Ba ",1,2,0,"positive","18","23"," Android",53
"25",25,25," Did you vote on  Demonetization on Modi survey app ",1,1,0,"positive","18","23"," Web Client",66
"26",26,26," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Android",12
"27",27,27,"  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo ",2,0,0,"negative","18","23"," iPhone",20
"28",28,28," Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th ",0,1,0,"positive","18","23"," Web Client",12
"29",29,29,"  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo ",2,0,0,"negative","18","23"," Android",20
"30",30,30,"  Demonetization Is Disaster   ",1,0,0,"negative","18","23"," Windows Phone",7
"31",31,31," Did you vote on  Demonetization on Modi survey app ",1,1,0,"positive","18","23"," Web Client",66
"32",32,32," After the  demonetization  searches about  NarendraModi s app are trending on app stores ",0,0,1,"neutral","18","23"," iPhone",11
"33",33,33," Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  ",1,1,0,"positive","18","23"," Android",6
"34",34,34," 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t ",0,0,1,"neutral","18","23"," Android",76
"35",35,35,"  demonetization is Communal and Black Money is Secular   ",1,1,0,"positive","18","23"," Web Client",1
"36",36,36,"LOL   Demonetization Effect  ",0,0,1,"neutral","18","23"," Android",0
"37",37,37,"  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo ",2,0,0,"negative","18","23"," Android",20
"38",38,38,"RT roshankar  Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact o  ",2,0,0,"negative","18","23","IFTTT",0
"39",39,39," BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   ",0,1,0,"positive","18","23"," iPhone",95
"40",40,40,"  Lrnd frm a frnd Banks r asking employees to comeback 2sales  amp  BAU Operations  Demonetization",0,0,1,"neutral","18","23"," iPhone",0
